Date,USD_2Y,EUR_2Y,GBP_2Y,AUD_2Y,NZD_2Y,CAD_2Y,JPY_2Y
2026-05-01,3.88,2.718,4.43,4.708,3.653,2.936,1.376
2026-05-04,3.946,2.718,4.43,4.738,3.635,3.052,1.371
2026-05-05,3.946,2.686,4.52,4.688,3.625,3.03,1.376
2026-05-06,3.87,2.564,4.39,4.61,3.61,2.907,1.376
2026-05-07,3.911,2.612,4.41,4.675,3.643,2.934,1.368
2026-05-08,3.889,2.58,4.39,4.677,3.658,2.864,1.369
2026-05-11,3.951,2.654,4.49,4.768,3.683,2.94,1.392
2026-05-12,3.994,2.717,4.55,4.771,3.785,2.975,1.389
2026-05-13,3.977,2.691,4.48,4.763,3.753,2.957,1.4
2026-05-14,4.015,2.689,4.47,4.67,3.705,2.972,1.391
2026-05-15,4.079,2.743,4.56,4.792,3.73,3.06,1.408
2026-05-18,4.046,2.7,4.44,4.728,3.71,3.06,1.417
2026-05-19,4.122,2.741,4.51,4.752,3.71,3.041,1.439
2026-05-20,4.057,2.646,4.37,4.687,3.675,2.946,1.447
2026-05-21,4.079,2.623,4.36,4.61,3.645,2.915,1.438
2026-05-22,4.123,2.642,4.35,4.623,3.63,2.915,1.428
2026-05-26,4.036,2.576,4.29,4.623,3.525,2.837,1.396
2026-05-27,4.039,2.581,4.28,4.571,3.598,2.864,1.375
2026-05-28,4.027,2.558,4.25,4.54,3.54,2.851,1.357
2026-05-29,4.002,2.543,4.21,4.552,3.545,2.779,1.366
2026-06-01,4.033,2.626,4.32,4.608,3.595,2.812,1.401
2026-06-02,4.045,2.631,4.33,4.63,3.56,2.806,1.381
2026-06-03,4.084,2.674,4.38,4.637,3.525,2.82,1.41
2026-06-04,4.045,2.654,4.33,4.619,3.495,2.812,1.413
2026-06-05,4.145,2.677,4.32,4.65,3.5,2.867,1.405
2026-06-08,4.166,2.706,4.38,4.675,3.555,2.883,1.415
2026-06-09,4.122,2.677,4.35,4.567,3.505,2.847,1.421
2026-06-10,4.145,2.715,4.39,4.566,3.506,2.847,1.416
2026-06-11,4.062,2.642,4.35,4.516,3.458,2.778,1.422
2026-06-12,4.087,2.619,4.24,4.485,3.438,2.76,1.391
2026-06-15,4.07,2.592,4.2,4.558,3.398,2.76,1.401
2026-06-16,4.054,2.574,4.18,4.475,3.303,2.752,1.41
2026-06-17,4.186,2.647,4.14,4.456,3.335,2.823,1.385
2026-06-18,4.179,2.618,4.19,4.528,3.42,2.782,1.379
2026-06-22,4.23,2.603,4.22,4.487,3.425,2.81,1.41
2026-06-23,4.2,2.582,4.17,4.45,3.385,2.781,1.415
2026-06-24,4.15,2.551,4.14,4.446,3.31,2.734,1.419
2026-06-25,4.123,2.542,4.13,4.455,3.313,2.752,1.415
2026-06-26,4.096,2.52,4.14,4.471,3.33,2.749,1.402
2026-06-29,4.107,2.551,4.14,4.441,3.333,2.73,1.393
2026-06-30,4.17,2.536,4.17,4.432,3.362,2.745,1.363
2026-07-01,4.178,2.527,4.14,4.503,3.38,2.745,1.398
2026-07-02,4.137,2.507,4.14,4.501,3.403,2.76,1.376
2026-07-06,4.112,2.541,4.13,4.475,3.363,2.732,1.392
2026-07-07,4.187,2.615,4.19,4.475,3.39,2.794,1.402
2026-07-08,4.216,2.693,4.33,4.57,3.448,2.865,1.433
2026-07-09,4.174,2.649,4.25,4.51,3.528,2.809,1.444
2026-07-10,4.212,2.659,4.24,4.497,3.528,2.82,1.444
2026-07-13,4.281,2.747,4.38,4.555,3.638,2.892,1.44
2026-07-14,4.191,2.744,4.35,4.522,3.66,2.87,1.426
2026-07-15,4.137,2.73,4.33,4.518,3.635,2.819,1.429
2026-07-16,4.145,2.759,4.34,4.534,3.613,2.828,1.435
2026-07-17,4.183,2.799,4.37,4.538,3.605,2.869,1.429
2026-07-20,4.211,2.784,4.41,4.619,3.665,2.839,1.434
2026-07-21,4.261,2.804,4.4,4.608,3.66,2.826,1.441
2026-07-22,4.304,2.842,4.43,4.611,3.665,2.89,1.476
2026-07-23,4.351,2.869,4.49,4.713,3.73,2.957,1.495
2026-07-24,4.337,2.832,4.43,4.676,3.803,2.91,1.514
2026-07-27,4.32,2.783,4.38,4.68,3.708,2.869,1.502
2026-07-28,4.281,2.747,4.34,4.608,3.703,2.85,1.483
2026-07-29,4.266,2.808,4.46,4.567,3.678,2.859,1.471
2026-07-30,4.25,2.75,4.34,4.545,3.675,2.856,1.476
2026-07-31,4.262,2.815,4.41,4.524,3.635,2.921,1.508
2026-08-03,4.241,2.763,4.31,4.554,3.66,2.921,1.561
2026-08-04,4.194,2.699,4.24,4.528,3.645,2.826,1.573
2026-08-05,4.185,2.71,4.25,4.54,3.583,2.833,1.572
2026-08-06,4.247,2.759,4.31,4.562,3.598,2.928,1.567
2026-08-07,4.199,2.728,4.3,4.574,3.618,2.965,1.603
2026-08-10,4.243,2.794,4.36,4.627,3.608,3.029,1.612
2026-08-11,4.222,2.783,4.32,4.605,3.618,3.02,1.609
2026-08-12,4.201,2.787,4.33,4.591,3.585,2.988,1.635
2026-08-13,4.149,2.755,4.31,4.563,3.535,2.928,1.653
2026-08-14,4.171,2.795,4.37,4.581,3.568,2.958,1.661
2026-08-17,4.182,2.802,4.38,4.612,3.595,2.984,1.694
